3d880000_3e83f07c00000000_10000_0 | 3e83f07c_1
3d900000_3e87c3b700000000_10000_0 | 3e87c3b7_1
64005ffe_51b548c700000000_10000_0 | 51b548c7_1
3da00000_3e8f1bbd00000000_10000_0 | 3e8f1bbd_1
3dc00000_3e9cc47100000000_10000_0 | 3e9cc471_1
3de00000_3ea953fe00000000_10000_0 | 3ea953fe_1
3df00000_3eaf456f00000000_10000_0 | 3eaf456f_1
4cfde760_463446d600000000_10000_0 | 463446d6_1
3df80000_3eb22b2100000000_10000_0 | 3eb22b21_1
3dfc0000_3eb3997d00000000_10000_0 | 3eb3997d_1
3dfe0000_3eb44f9400000000_10000_0 | 3eb44f94_1
5e600004_4eef775300000000_10000_0 | 4eef7753_1
3dff0000_3eb4aa5b00000000_10000_0 | 3eb4aa5b_1
3d9b6f91_3e8d0d6b00000000_10000_0 | 3e8d0d6b_1
3dff8000_3eb4d7ad00000000_10000_0 | 3eb4d7ad_1
3dffc000_3eb4ee5200000000_10000_0 | 3eb4ee52_1
3dffe000_3eb4f9a300000000_10000_0 | 3eb4f9a3_1
3dfff000_3eb4ff4b00000000_10000_0 | 3eb4ff4b_1
3dfff800_3eb5022000000000_10000_0 | 3eb50220_1
3dfffc00_3eb5038a00000000_10000_0 | 3eb5038a_1
3dfffe00_3eb5043f00000000_10000_0 | 3eb5043f_1
4e7effff_46ff7fe000000000_10000_0 | 46ff7fe0_1
3dffff00_3eb5049900000000_10000_0 | 3eb50499_1
3f71a699_3f78b8d100000000_10000_0 | 3f78b8d1_1
3dffff80_3eb504c600000000_10000_0 | 3eb504c6_1
3dffffc0_3eb504dd00000000_10000_0 | 3eb504dd_1
3e7f800e_3effbfff00000000_10000_0 | 3effbfff_1
3dffffe0_3eb504e800000000_10000_0 | 3eb504e8_1
3dfffff0_3eb504ee00000000_10000_0 | 3eb504ee_1
3dfffff8_3eb504f100000000_10000_0 | 3eb504f1_1
4180004f_4080002800000000_10000_0 | 40800028_1
